epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.3331,5.09506,10.1208,1.94703,0,0,0,0,4.00936,9.72363,1.73906,1.112e-05,1.112e-05,1.112e-05
2,22.4978,4.78864,10.116,1.92414,0,0,0,0,3.76868,9.71734,1.70832,2.77725e-05,2.77725e-05,2.77725e-05
3,34.0205,4.77903,10.0884,1.88353,0,0,0,0,3.58622,9.70646,1.66916,4.43919e-05,4.43919e-05,4.43919e-05
4,43.3178,3.99299,9.98863,1.77138,0,0,0,0,3.5544,9.64077,1.61403,6.09784e-05,6.09784e-05,6.09784e-05
5,52.9869,3.69152,9.86768,1.71182,0,0,0,0,3.15531,9.62083,1.58573,7.75318e-05,7.75318e-05,7.75318e-05
6,62.6795,3.93634,9.77567,1.7079,0,0,0,0,3.15955,9.64117,1.57941,9.40521e-05,9.40521e-05,9.40521e-05
7,71.3978,3.53374,9.67603,1.67757,0,0,0,0,3.26518,9.57727,1.58249,0.000110539,0.000110539,0.000110539
8,81.5623,3.43875,9.54786,1.66621,0,0,0,0,3.35942,9.65997,1.58028,0.000126994,0.000126994,0.000126994
9,91.6799,3.62414,9.44312,1.64924,0,0,0,0,3.56683,9.58644,1.57452,0.000143415,0.000143415,0.000143415
10,99.8575,3.18219,9.25596,1.63806,0,0,0,0,3.03489,9.52718,1.56647,0.000159803,0.000159803,0.000159803
11,109.057,3.00986,9.15131,1.63115,0,0,0,0,2.97103,9.50333,1.56938,0.000176159,0.000176159,0.000176159
12,118.182,3.27778,9.04853,1.6277,0,0,0,0,3.18847,9.52794,1.55438,0.000192481,0.000192481,0.000192481
13,123.264,2.87019,8.88425,1.61895,0,0,0,0,2.77848,9.43849,1.56267,0.00020877,0.00020877,0.00020877
14,132.394,3.21516,8.80371,1.61737,0,0,0,0,2.66824,9.45176,1.54304,0.000225026,0.000225026,0.000225026
15,141.859,2.92761,8.52514,1.62425,0,0,0,0,2.86434,9.41713,1.54891,0.000241249,0.000241249,0.000241249
16,150.898,2.7569,8.37754,1.60552,0,0,0,0,2.61562,9.3477,1.53948,0.000257439,0.000257439,0.000257439
17,160.282,3.03424,8.19794,1.61319,0.02381,0.00132,0.01284,0.00128,2.57015,9.44241,1.51996,0.000273596,0.000273596,0.000273596
18,169.211,2.87025,8.0665,1.59916,0.00311,0.00132,0.00261,0.00052,2.58557,9.32374,1.52714,0.000289721,0.000289721,0.000289721
19,178.233,2.66656,7.80554,1.60012,0.0068,0.00529,0.00619,0.00222,2.39848,9.26819,1.54,0.000305812,0.000305812,0.000305812
20,187.479,2.8134,7.78511,1.60678,0.01268,0.01673,0.01006,0.00355,2.61649,9.18985,1.53736,0.00032187,0.00032187,0.00032187
21,198.686,2.90191,7.50013,1.60766,0.00897,0.01541,0.00699,0.00206,2.72348,9.18238,1.52794,0.000337895,0.000337895,0.000337895
22,207.406,2.64851,7.3087,1.60515,0.01725,0.03895,0.01403,0.00597,2.30065,9.10344,1.5306,0.000353886,0.000353886,0.000353886
23,215.344,2.8451,7.17309,1.6178,0.02107,0.04785,0.01639,0.00884,2.34043,9.01815,1.53592,0.000369845,0.000369845,0.000369845
24,225.279,2.92614,7.12235,1.61654,0.02935,0.07602,0.02189,0.01246,2.96946,8.81548,1.5419,0.000385771,0.000385771,0.000385771
25,235.349,2.82706,6.76959,1.60412,0.03953,0.081,0.0277,0.01579,3.11011,8.7445,1.54574,0.000401664,0.000401664,0.000401664
26,242.833,2.74968,6.6217,1.61053,0.06531,0.11592,0.04485,0.02513,2.29282,8.72379,1.54772,0.000417524,0.000417524,0.000417524
27,250.959,2.90125,6.52317,1.60906,0.05887,0.12918,0.04358,0.02232,2.38534,8.68499,1.54687,0.000433351,0.000433351,0.000433351
28,259.49,2.92563,6.39879,1.60833,0.04556,0.14535,0.03941,0.01631,2.95449,8.50828,1.54191,0.000449145,0.000449145,0.000449145
29,273.136,2.79277,6.12113,1.59863,0.04596,0.16072,0.04152,0.01748,3.03833,8.4298,1.54413,0.000464905,0.000464905,0.000464905
30,280.847,2.97678,6.07853,1.60834,0.04836,0.21253,0.0475,0.02938,2.22398,8.17481,1.54463,0.000480633,0.000480633,0.000480633
31,290.518,2.9411,5.80969,1.60434,0.04969,0.22255,0.04915,0.0319,2.35884,8.06073,1.54575,0.000496328,0.000496328,0.000496328
32,300.79,2.61959,5.51056,1.60346,0.05641,0.24391,0.05609,0.02582,2.83244,7.97504,1.55429,0.00051199,0.00051199,0.00051199
33,308.916,2.77013,5.36785,1.60433,0.07655,0.24719,0.06966,0.03471,2.93396,7.92184,1.55511,0.000527618,0.000527618,0.000527618
34,318.446,2.58424,5.04338,1.60021,0.09418,0.28842,0.08414,0.05296,2.5963,7.68757,1.55592,0.000537835,0.000537835,0.000537835
35,326.218,2.73443,4.93798,1.61112,0.09883,0.29351,0.08867,0.05539,2.52795,7.61543,1.55401,0.000537285,0.000537285,0.000537285
36,336.914,2.65001,4.63198,1.59954,0.09887,0.3215,0.09295,0.05256,2.62204,7.47284,1.55046,0.000536735,0.000536735,0.000536735
37,345.396,2.68452,4.46372,1.59611,0.10736,0.36221,0.10484,0.06597,2.61928,7.3096,1.54567,0.000536184,0.000536184,0.000536184
